"name","original_name","genre","rating","vote"
"Я – легенда","I Am Legend, 2007","фантастика, боевик",7.9,321849
"Обитель зла","Resident Evil, 2002","ужасы, боевик",7.5,158409
"28 дней спустя","28 Days Later..., 2002","ужасы, фантастика",7.5,151456
"Добро пожаловать в Zомбилэнд","Zombieland, 2009","ужасы, комедия",7.5,227174
"Зомби по имени Шон","Shaun of the Dead, 2004","ужасы, комедия",7.4,107558
"Рассвет мертвецов","Dawn of the Dead, 2004","ужасы, боевик",7.3,73272
"Возвращение живых мертвецов","Return of the Living Dead, The, 1984","ужасы, комедия",7.3,8869
"Ночь живых мертвецов","Night of the Living Dead, 1968","ужасы, триллер",7.3,13322
"Живая мертвечина","Braindead, 1992","ужасы, фэнтези",7.3,18140
"Зловещие мертвецы","Evil Dead, The, 1981","ужасы",7.2,38834
"Ночь живых мертвецов","Night of the Living Dead, 1990","ужасы",7,6918
"28 недель спустя","28 Weeks Later, 2007","ужасы, фантастика",7,91201
"Репортаж","[Rec], 2007","ужасы, фантастика",7,53716
"Реаниматор","Re-Animator, 1985","ужасы, фантастика",7.1,11307
"Война миров Z","World War Z, 2013","ужасы, фантастика",7,218394
"День мертвецов","Day of the Dead, 1985","ужасы, триллер",6.8,5824
"Тепло наших тел","Warm Bodies, 2013","ужасы, мелодрама",6.9,112457
"Зомби 2","Zombi 2, 1979","ужасы",6.7,2782
"Обитель зла 2: Апокалипсис","Resident Evil: Apocalypse, 2004","ужасы, боевик",6.8,91454
"Белый зомби","White Zombie, 1932","ужасы",6.6,1307
"Планета страха","Planet Terror, 2007","ужасы, фантастика",6.7,55729
"Город живых мертвецов","Paura nella citta dei morti viventi, 1980","ужасы",6.5,2248
"Репортаж из преисподней","[Rec]<U+00B2>, 2009","ужасы, фантастика",6.6,20840
"Обитель зла 3","Resident Evil: Extinction, 2007","ужасы, боевик",6.6,91694
"Безумцы","Crazies, The, 2010","ужасы, триллер",6.5,35332
"Карантин","Quarantine, 2008","ужасы, триллер",6.3,22788
"Ночь живых придурков","Die Nacht der lebenden Loser, 2004","ужасы, комедия",6.3,6033
"Земля мертвых","Land of the Dead, 2005","ужасы, фантастика",6.2,22288
"Обитель зла 4: Жизнь после смерти 3D","Resident Evil: Afterlife, 2010","ужасы, боевик",6.1,92976
"Дневники мертвецов","Diary of the Dead, 2007","ужасы, фантастика",5.8,8866
"Операция 'Мертвый снег'","Dod sno, 2009","ужасы, комедия",5.7,34359
